Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
J33;2POS;CON_39281023;264.754;14.249999;0;top
J34;2POS;CON_39281023;284.831501;44.988;90;top
J35;2POS;CON_39281023;19.298;14;0;top
J36;2POS;CON_39281023;28.95;14;0;top
J37;2POS;CON_39281023;38.602;14;0;top
J38;2POS;CON_39281023;48.254;14;0;top
J39;4POS;CON_39301049;80.567999;12.028999;0;top
J40;4POS;CON_39301049;101.717999;12;0;top
J41;4POS;CON_39301049;122.731999;12.028999;0;top
J42;4POS;CON_39301049;144;12;0;top
J43;5POS;CON_39302050;132.496002;215.567001;180;top
J44;5POS;CON_39302050;158.200002;215.5;180;top
J45;5POS;CON_39302050;183.600002;215.5;180;top
J46;2POS;CON_39281023;164.309001;14.149998;0;top
J47;2POS;CON_39281023;173.961001;14.149998;0;top
J48;2POS;CON_39281023;183.749;14.201999;0;top
